nohup: ignoring input
[I 2025-08-04 22:22:44,379] A new study created in memory with name: no-name-0a262ad7-8213-47fa-8808-5e1ad63d50a9
[I 2025-08-04 22:25:29,984] Trial 0 finished with value: 0.0031891650638572033 and parameters: {'d_hidden': 256, 'd_model': 128, 'mapping_size': 112}. Best is trial 0 with value: 0.0031891650638572033.
[I 2025-08-04 22:28:44,427] Trial 1 finished with value: 0.0021181320027505563 and parameters: {'d_hidden': 256, 'd_model': 32, 'mapping_size': 32}. Best is trial 1 with value: 0.0021181320027505563.
[I 2025-08-04 22:32:48,876] Trial 2 finished with value: 0.0035718742510767888 and parameters: {'d_hidden': 512, 'd_model': 16, 'mapping_size': 96}. Best is trial 1 with value: 0.0021181320027505563.
[I 2025-08-04 22:36:55,054] Trial 3 finished with value: 0.0024385066860832805 and parameters: {'d_hidden': 768, 'd_model': 128, 'mapping_size': 112}. Best is trial 1 with value: 0.0021181320027505563.
[I 2025-08-04 22:39:09,435] Trial 4 finished with value: 0.0021814071900243797 and parameters: {'d_hidden': 128, 'd_model': 32, 'mapping_size': 96}. Best is trial 1 with value: 0.0021181320027505563.
[I 2025-08-04 22:44:07,668] Trial 5 finished with value: 0.006623633754285936 and parameters: {'d_hidden': 512, 'd_model': 16, 'mapping_size': 16}. Best is trial 1 with value: 0.0021181320027505563.
[I 2025-08-04 22:46:37,938] Trial 6 finished with value: 0.002413642353723395 and parameters: {'d_hidden': 128, 'd_model': 16, 'mapping_size': 112}. Best is trial 1 with value: 0.0021181320027505563.
[I 2025-08-04 22:50:43,756] Trial 7 finished with value: 0.0017768067426326408 and parameters: {'d_hidden': 768, 'd_model': 128, 'mapping_size': 96}. Best is trial 7 with value: 0.0017768067426326408.
[I 2025-08-04 22:55:49,137] Trial 8 finished with value: 0.0034702333210384576 and parameters: {'d_hidden': 768, 'd_model': 16, 'mapping_size': 64}. Best is trial 7 with value: 0.0017768067426326408.
[I 2025-08-04 22:59:15,774] Trial 9 finished with value: 0.0025661836848234272 and parameters: {'d_hidden': 512, 'd_model': 64, 'mapping_size': 80}. Best is trial 7 with value: 0.0017768067426326408.
[I 2025-08-04 23:03:24,930] Trial 10 finished with value: 0.0028173668453775973 and parameters: {'d_hidden': 768, 'd_model': 128, 'mapping_size': 48}. Best is trial 7 with value: 0.0017768067426326408.
[I 2025-08-04 23:06:53,095] Trial 11 finished with value: 0.004356151035844843 and parameters: {'d_hidden': 256, 'd_model': 32, 'mapping_size': 16}. Best is trial 7 with value: 0.0017768067426326408.
[I 2025-08-04 23:10:00,311] Trial 12 finished with value: 0.0019745953981883265 and parameters: {'d_hidden': 256, 'd_model': 32, 'mapping_size': 48}. Best is trial 7 with value: 0.0017768067426326408.
[I 2025-08-04 23:12:29,547] Trial 13 finished with value: 0.003747904060295003 and parameters: {'d_hidden': 256, 'd_model': 64, 'mapping_size': 64}. Best is trial 7 with value: 0.0017768067426326408.
[I 2025-08-04 23:17:07,302] Trial 14 finished with value: 0.006241371656706007 and parameters: {'d_hidden': 768, 'd_model': 32, 'mapping_size': 48}. Best is trial 7 with value: 0.0017768067426326408.
